Qty,Value,Device,Package,Parts
1,,LEDCHIPLED_0805,SMD_0805,LED1
1,,LEDCHIPLED_0805,SMD_0805,LED2
2,,LEDCHIPLED_0805,SMD_0805,"LED3, LED4"
5,0.1uF,C-EUC0805,C0805,"C2, C3, C7, C8, C10"
5,10uF 6.3V,CPOL-EUSMCC,SMC_C,"C4, C5, C6, C9, C11"
1,180R,R-EU_R0805,R0805,R11
2,18650_BAT,18650_BAT,36-54-ND,U$6
1,1R_3P,1R_3P,1R_3P,U$15
11,1k,R-EU_R0805,R0805,"R1, R6, R7, R8, R10, R12, R15, R16, R17, R20, R23"
1,20279-001E-01,20279-001E-01,20279-001E-01,J2
1,22pF,C-EUC0805,C0805,C1
7,27R,R-EU_R0805,R0805,"R3, R4, R5, R13, R14"
1,100k,R-EU_R0806,R0806,R19
1,51k,R-EU_R0807,R0807,R18
1,2k,R-EU_R0805,R0805,R22
3,360R,R-EU_R0805,R0805,"R2, R9, R21"
1,7111S2015X02LF,7111S2015X02LF,7111S2015X02LF,J1
2,DTSM-6,DTSM-6,DTSM-6,"S1, S2"
1,LTC4054LES5-4.2TRPBF,LTC4054LES5-4.2TRPBF,SOT95P280X100-5N,IC5
1,MCP1703T-3302E_MB,MCP1703T-3302E_MB,SOT-89(MB),IC4
1,MIC29302WU,MIC29302WU,MIC29302WU,IC1
1,MINI-USB-CON,MINI-USB-CON,690-005-299-043,X2
1,SIM800C,SIM800C,SIM800C,IC3
1,SMF05C,SMF05C,SOT65P210X110-6N,D1
1,STM32F030F4P6TR,STM32F030F4P6TR,SOP65P640X120-20N,IC2
1,USBLC6-2SC6Y,USBLC6-2SC6Y,SOT95P280X145-6N,D2
2,18650_BAT_holder,18651_BAT_holder,18652_BAT_holder,"B1, B2"
